e0,e1,e2,e3,e4,e5
-3.2291422961507914e-14,-2.519840858671372e-13,-4.588124970359171e-12,-2.4750868954407347e-10,-5.79944205577605e-08,0.00017694561303501194
-3.4714150265309197e-14,-2.915626566111284e-13,-5.280355790479604e-12,-2.791854164651088e-10,-6.345577999275778e-08,0.000186488028084689
-3.868815937106185e-14,-3.3723481913687377e-13,-6.077952963869244e-12,-3.1490131367523316e-10,-6.94421111438138e-08,0.00019641708879652263
-4.394557042620243e-14,-3.91288559134185e-13,-6.9957602654340345e-12,-3.5517184587153013e-10,-7.60029402020888e-08,0.0002067533810933494
-5.0858440139918915e-14,-4.5472515318008294e-13,-8.053612189563916e-12,-4.0058115335472184e-10,-8.31925451165857e-08,0.0002175183352123062
-5.869059712701882e-14,-5.279992444524793e-13,-9.269917997977262e-12,-4.517856412947957e-10,-9.107040420338292e-08,0.00022873427013294818
-6.935306342089515e-14,-6.154629425200079e-13,-1.0670361607692713e-11,-5.095247773654956e-10,-9.97016943477401e-08,0.00024042443985696868
-8.189687046836732e-14,-7.178763875487476e-13,-1.2283377599646973e-11,-5.746350911876585e-10,-1.0915782103788273e-07,0.0002526130816133349
-9.53427592971667e-14,-8.374428802283338e-13,-1.4138731444133887e-11,-6.480570416914843e-10,-1.195170173153097e-07,0.0002653254661164332
-1.1272548542120716e-13,-9.779478557846645e-13,-1.627607714664583e-11,-7.30854052499259e-10,-1.3086498330485086e-07,0.00027858794995444666
-1.3201824150699498e-13,-1.1415779385298618e-12,-1.873680006099012e-11,-8.242236975891613e-10,-1.4329560082307745e-07,0.0002924280302379154
-1.530244985346137e-13,-1.3318404413523459e-12,-2.156836574529993e-11,-9.295159620695727e-10,-1.5691170849073436e-07,0.00030687440160635804
-1.7902752629299672e-13,-1.5547843406560683e-12,-2.4827077827345644e-11,-1.048254357709889e-09,-1.7182595348604183e-07,0.00032195701572451776
-2.1037754529338082e-13,-1.8151308729175902e-12,-2.8577506534610754e-11,-1.182157207373182e-09,-1.8816172182729637e-07,0.00033770714337914257
-2.471225387238643e-13,-2.1187933861733647e-12,-3.2894966977650995e-11,-1.3331605196218439e-09,-2.0605416058898632e-07,0.00035415743931454044
-2.917544269288697e-13,-2.4729264684014034e-12,-3.7865878340324024e-11,-1.503450579928953e-09,-2.256512948259392e-07,0.00037134200993089745
-3.423761794970375e-13,-2.885390729029407e-12,-4.3586552336066656e-11,-1.6954905126127214e-09,-2.471152534650935e-07,0.0003892964840035975
-4.001483937232547e-13,-3.3666903139556144e-12,-5.0170740430103824e-11,-1.9120572418968093e-09,-2.706236092583819e-07,0.0004080580865448076
-4.681134799251428e-13,-3.9274515605796896e-12,-5.774872782593466e-11,-2.1562836176534548e-09,-2.9637084611660637e-07,0.00042766571598678086
