e0,e1,e2,e3,e4,e5
-5.4065516978112425e-12,1.2060212754724593e-12,-9.587213759174757e-13,1.0331747556971046e-11,3.129236552187392e-13,1.2189481112405976e-12
-6.36145279693367e-12,1.407495459828879e-12,-1.1034950256238522e-12,1.1651298451526901e-11,3.426577175753179e-13,1.2762506686520037e-12
-7.484763970990454e-12,1.6426044726039963e-12,-1.2701842806987128e-12,1.3139405955780657e-11,3.752698721802017e-13,1.3361141731257639e-12
-8.80643659571606e-12,1.916981234446097e-12,-1.462093954225105e-12,1.4817592864379267e-11,4.109383012345918e-13,1.3987789672797687e-12
-1.0361421162287789e-11,2.2371930875889092e-12,-1.6830272401160332e-12,1.671016230109254e-11,4.4998979271438307e-13,1.4644601814969594e-12
-1.2191456333667079e-11,2.610990885346575e-12,-1.9372983047552316e-12,1.884446403980164e-11,4.927821258020707e-13,1.5331169788085563e-12
-1.4344621664820139e-11,3.0473429984915452e-12,-2.229854657005143e-12,2.1251276779082342e-11,5.396529197304201e-13,1.6049720490369899e-12
-1.6878692031284435e-11,3.5566795981091357e-12,-2.566666314585845e-12,2.3965496476892332e-11,5.91051379679894e-13,1.6802094047695866e-12
-1.9860790016565232e-11,4.151095863258225e-12,-2.9544188173609014e-12,2.702646459347323e-11,6.474215936421727e-13,1.758903651400805e-12
-2.336989894238649e-11,4.84477539534471e-12,-3.4008426001380856e-12,3.04783415561034e-11,7.091397313880554e-13,1.841270539756936e-12
-2.7499122530878755e-11,5.654434686851966e-12,-3.914591790052446e-12,3.437106912202353e-11,7.767116338789212e-13,1.9274050773343164e-12
-3.2358044745267166e-11,6.599538868941908e-12,-4.505799149139307e-12,3.87609799375487e-11,8.507372718272343e-13,2.0174533083319487e-12
-3.807569574423234e-11,7.702632342742355e-12,-5.186366272882549e-12,4.371155027305757e-11,9.317664464717412e-13,2.11168479050705e-12
-4.480372954073637e-11,8.98997658040649e-12,-5.969714731730644e-12,4.929450115639982e-11,1.0204957691362452e-12,2.2103360911408066e-12
-5.272071064439667e-11,1.0492520763749884e-11,-6.871303030597489e-12,5.5590526263612585e-11,1.1177391118634875e-12,2.3136665188320064e-12
-6.203683033509346e-11,1.2246263285487477e-11,-7.90902091304226e-12,6.269068903545079e-11,1.2242429927423938e-12,2.4217735446272876e-12
-7.299966438014263e-11,1.429305192312346e-11,-9.103451894353358e-12,7.069771505591912e-11,1.3408257206627809e-12,2.534947830149958e-12
-8.589913687206964e-11,1.6681865874175223e-11,-1.0478260659003615e-11,7.972755366257167e-11,1.4685149395479649e-12,2.653383407141278e-12
-1.0107806340004636e-10,1.9469769064815327e-11,-1.206068756128186e-11,8.991068733765235e-11,1.6083247210914957e-12,2.777416358181514e-12
-1.189392465594576e-10,2.2723627839968392e-11,-1.3882019231243036e-11,1.0139445355314244e-10,1.76154049704213e-12,2.9072337663491255e-12
